seed;step;episode;run;hypervolume;PFcardinality;plan_lengths;computation_time
1;1000;2;run1;0.0;0;[];1.2126811179987271
1;2000;4;run1;0.0;0;[];2.392693950001558
1;3000;6;run1;0.0;0;[];3.5854142050011433
1;4000;8;run1;0.0;0;[];4.775365677000082
1;5000;10;run1;0.0;0;[];5.971718286004034
1;6000;12;run1;0.0;0;[];7.174173175997566
1;7000;14;run1;0.0;0;[];8.371177745997556
1;8000;16;run1;0.0;0;[];9.566441615002987
1;9000;18;run1;0.0;0;[];10.764745139000297
1;10000;20;run1;0.0;0;[];11.962677210001857
1;11000;22;run1;0.0;0;[];13.163288513002044
1;12000;24;run1;0.0;0;[];14.364529425998626
1;13000;26;run1;0.0;0;[];15.590511314003379
1;14000;28;run1;0.0;0;[];16.8976882210045
1;15000;30;run1;0.0;0;[];18.121466021999368
1;16000;32;run1;0.0;0;[];19.31144484000106
1;17000;34;run1;0.0;0;[];20.510152444003324
1;18000;36;run1;0.0;0;[];21.709656099999847
1;19000;38;run1;0.0;0;[];22.915280043001985
1;20000;40;run1;0.0;0;[];24.117251221003244
1;21000;42;run1;0.0;0;[];25.33175539399963
1;22000;45;run1;0.0;0;[];26.54032885900233
1;23000;47;run1;0.0;0;[];27.745942950998142
1;24000;49;run1;0.0;0;[];28.96291999600362
1;25000;51;run1;0.0;0;[];30.176001699001063
1;26000;53;run1;0.0;0;[];31.392705546000798
1;27000;55;run1;0.0;0;[];32.61131910199765
1;28000;57;run1;0.0;0;[];33.83561145800195
1;29000;59;run1;0.0;0;[];35.05642956899828
1;30000;61;run1;0.0;0;[];36.29840725599934
1;31000;63;run1;0.0;0;[];37.5880076090034
1;32000;66;run1;0.0;0;[];38.9190374030004
1;33000;68;run1;0.0;0;[];40.212301248000585
1;34000;70;run1;15.397214318458218;1;[19];41.522026810998796
1;35000;72;run1;15.397214318458218;1;[19];42.94645184899855
1;36000;77;run1;15.397214318458218;1;[19];44.31812559899845
1;37000;79;run1;15.397214318458218;1;[19];45.69596376700065
1;38000;81;run1;15.397214318458218;1;[19];47.123231887002476
1;39000;85;run1;15.397214318458218;1;[19];48.549586619003094
